@relation observations_30.arff_clustered

@attribute Instance_number numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}
@attribute Cluster {cluster0,cluster1}

@data
0,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster0
1,0,1,0,7,1,3,5,0,2,0,1,2,?,cluster0
2,0,1,0,3,0,1,2,0,1,0,1,1,?,cluster0
3,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster0
4,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster0
5,0,3,0,5,1,0,6,0,0,0,0,0,?,cluster0
6,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
7,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
8,0,3,1,5,0,0,7,0,0,0,2,3,?,cluster0
9,0,1,0,3,1,0,4,0,0,0,0,1,?,cluster0
10,0,0,4,14,7,0,21,0,0,0,0,8,?,cluster0
11,0,4,1,15,9,0,29,0,0,0,3,12,?,cluster0
12,0,4,0,6,1,0,5,0,0,3,3,3,?,cluster0
13,0,8,0,10,1,0,11,0,0,5,5,5,?,cluster0
14,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
15,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
16,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
17,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
18,0,3,1,9,4,0,16,0,0,0,2,6,?,cluster0
19,0,2,0,4,0,1,3,0,1,0,0,0,?,cluster0
20,0,3,0,11,1,4,14,2,4,0,1,4,?,cluster0
21,0,3,0,14,4,4,22,2,4,0,1,7,?,cluster0
22,0,3,0,11,1,4,14,1,4,0,1,4,?,cluster0
23,0,3,0,18,7,5,30,2,5,0,1,10,?,cluster0
24,0,3,0,15,4,5,22,2,5,0,1,7,?,cluster0
25,0,2,0,6,0,2,6,1,2,0,0,1,?,cluster0
26,0,4,0,6,1,0,7,0,0,1,1,1,?,cluster0
27,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster0
28,0,7,1,24,8,3,36,0,2,0,3,13,?,cluster0
29,0,5,1,17,7,1,24,0,1,0,2,9,?,cluster0
30,0,6,1,28,7,4,50,0,2,1,1,15,?,cluster0
31,0,6,0,14,3,2,19,0,1,1,1,5,?,cluster0
32,1,1,2,11,6,0,19,0,0,0,0,7,?,cluster0
33,0,6,1,27,6,4,49,0,2,0,1,14,?,cluster0
34,0,6,0,13,2,2,18,0,1,0,1,4,?,cluster0
35,1,1,2,11,6,0,19,0,0,0,0,7,?,cluster0
36,0,4,1,23,14,2,43,1,1,0,0,14,?,cluster0
37,0,4,1,22,14,1,43,1,1,0,0,14,?,cluster0
38,0,17,0,26,8,0,41,0,0,0,16,16,?,cluster0
39,0,14,2,31,11,1,38,0,0,4,10,24,?,cluster0
40,1,1,2,10,5,0,16,0,0,0,0,6,?,cluster0
41,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
42,0,4,0,5,0,0,0,0,0,4,4,4,?,cluster0
43,0,5,0,7,1,0,8,0,0,2,2,2,?,cluster0
44,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
45,0,3,0,5,1,0,9,0,0,0,2,3,?,cluster0
46,0,3,0,5,1,0,7,0,0,0,2,2,?,cluster0
47,0,3,0,5,1,0,7,0,0,0,2,2,?,cluster0
48,0,1,1,5,2,0,7,0,0,0,0,2,?,cluster0
49,0,2,1,7,2,0,12,0,0,0,1,4,?,cluster0
50,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster0
51,0,1,0,7,1,3,6,0,2,0,1,2,?,cluster0
52,0,1,0,3,0,1,2,0,1,0,1,1,?,cluster0
53,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster0
54,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster0
55,0,0,0,2,1,0,0,0,0,0,0,0,?,cluster0
56,0,3,0,5,1,0,6,0,0,0,0,0,?,cluster0
57,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
58,0,11,3,21,6,0,32,0,0,6,9,14,?,cluster0
59,0,4,0,7,0,1,9,0,1,1,2,3,?,cluster0
60,0,3,0,6,0,1,7,0,1,0,1,2,?,cluster0
61,0,7,1,16,2,1,26,0,1,1,4,9,?,cluster0
62,0,6,0,13,1,1,22,0,1,0,3,7,?,cluster0
63,0,7,1,16,2,1,26,0,1,1,4,9,?,cluster0
64,0,6,0,13,1,1,22,0,1,0,3,7,?,cluster0
65,0,9,2,30,12,1,58,0,1,0,4,18,?,cluster0
66,0,8,0,17,3,1,30,0,1,0,3,9,?,cluster0
67,0,24,3,45,11,0,84,0,0,1,19,30,?,cluster0
68,0,7,0,18,3,2,32,1,1,0,3,10,?,cluster0
69,0,8,1,21,5,1,39,1,1,0,4,11,?,cluster0
70,0,6,0,18,3,2,32,1,1,0,3,11,?,cluster0
71,0,7,1,21,5,1,39,1,1,0,4,12,?,cluster0
72,0,8,1,22,9,0,36,0,0,0,5,11,?,cluster0
73,0,21,5,49,17,2,84,1,2,1,20,28,?,cluster0
74,0,3,0,6,0,2,7,1,2,0,2,2,?,cluster0
75,0,20,5,47,17,1,81,0,1,1,19,27,?,cluster0
76,0,3,1,11,5,1,14,0,0,0,2,4,?,cluster0
77,0,2,0,5,1,0,5,0,0,0,1,2,?,cluster0
78,0,14,1,45,22,3,74,0,2,0,13,27,?,cluster0
79,0,13,1,35,17,1,54,0,1,0,12,20,?,cluster0
80,0,7,1,9,0,0,11,0,0,1,4,8,?,cluster0
81,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
82,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
83,0,2,1,8,3,0,10,0,0,1,1,4,?,cluster0
84,0,0,1,4,1,0,5,0,0,0,0,2,?,cluster0
85,0,2,0,4,0,1,4,0,1,0,0,0,?,cluster0
86,0,2,0,8,2,3,11,2,3,0,0,2,?,cluster0
87,0,4,0,12,2,4,19,3,4,0,2,5,?,cluster0
88,0,4,0,12,2,4,19,3,4,0,2,5,?,cluster0
89,0,2,0,5,0,2,5,1,2,0,0,0,?,cluster0
90,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
91,0,2,1,8,4,0,13,0,0,0,1,5,?,cluster0
92,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
93,0,5,0,38,20,8,37,8,8,2,4,18,?,cluster0
94,0,5,0,32,14,8,31,8,8,2,4,15,?,cluster0
95,0,4,0,30,14,7,29,7,7,2,3,14,?,cluster0
96,0,5,0,36,18,8,35,8,8,2,4,17,?,cluster0
97,0,5,0,30,12,8,29,8,8,2,4,14,?,cluster0
98,0,4,0,28,12,7,27,7,7,2,3,13,?,cluster0
99,0,4,0,34,18,7,34,7,7,1,3,16,?,cluster0
100,0,4,0,28,12,7,28,7,7,1,3,13,?,cluster0
101,0,3,0,26,12,6,26,6,6,1,2,12,?,cluster0
102,0,5,0,28,10,8,27,8,8,2,4,13,?,cluster0
103,0,5,0,22,4,8,21,8,8,2,4,10,?,cluster0
104,0,4,0,20,4,7,19,7,7,2,3,9,?,cluster0
105,0,5,0,26,8,8,25,8,8,2,4,12,?,cluster0
106,0,5,0,20,2,8,19,8,8,2,4,9,?,cluster0
107,0,4,0,18,2,7,17,7,7,2,3,8,?,cluster0
108,0,4,0,24,8,7,24,7,7,1,3,11,?,cluster0
109,0,4,0,18,2,7,18,7,7,1,3,8,?,cluster0
110,0,3,0,16,2,6,16,6,6,1,2,7,?,cluster0
111,0,4,0,26,10,7,25,7,7,2,3,12,?,cluster0
112,0,4,0,20,4,7,19,7,7,2,3,9,?,cluster0
113,0,3,0,18,4,6,17,6,6,2,2,8,?,cluster0
114,0,4,0,24,8,7,23,7,7,2,3,11,?,cluster0
115,0,4,0,18,2,7,17,7,7,2,3,8,?,cluster0
116,0,3,0,16,2,6,15,6,6,2,2,7,?,cluster0
117,0,3,0,22,8,6,22,6,6,1,2,10,?,cluster0
118,0,3,0,16,2,6,16,6,6,1,2,7,?,cluster0
119,0,2,0,14,2,5,14,5,5,1,1,6,?,cluster0
120,0,5,0,36,18,8,35,8,8,2,4,17,?,cluster0
121,0,5,0,30,12,8,29,8,8,2,4,14,?,cluster0
122,0,4,0,28,12,7,27,7,7,2,3,13,?,cluster0
123,0,5,0,34,16,8,33,8,8,2,4,16,?,cluster0
124,0,5,0,28,10,8,27,8,8,2,4,13,?,cluster0
