@relation observations_20.arff

@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}

@data
0,0,0,1,0,0,0,0,0,0,0,0,hot
0,1,0,7,1,3,5,0,2,0,1,2,hot
0,1,0,3,0,1,2,0,1,0,1,1,hot
0,0,0,2,1,0,0,0,0,0,0,0,hot
0,1,0,3,1,0,1,0,0,0,0,0,hot
0,3,0,5,1,0,6,0,0,0,0,0,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,3,1,5,0,0,7,0,0,0,2,3,hot
0,1,0,3,1,0,4,0,0,0,0,1,hot
0,0,4,14,7,0,21,0,0,0,0,8,hot
0,4,1,15,9,0,29,0,0,0,3,12,hot
0,4,0,6,1,0,5,0,0,3,3,3,hot
0,8,0,10,1,0,11,0,0,5,5,5,hot
0,3,0,4,0,0,4,0,0,1,1,1,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,3,1,9,4,0,16,0,0,0,2,6,hot
0,2,0,4,0,1,3,0,1,0,0,0,hot
0,3,0,11,1,4,14,2,4,0,1,4,hot
0,3,0,14,4,4,22,2,4,0,1,7,hot
0,3,0,11,1,4,14,1,4,0,1,4,hot
0,3,0,18,7,5,30,2,5,0,1,10,hot
0,3,0,15,4,5,22,2,5,0,1,7,hot
0,2,0,6,0,2,6,1,2,0,0,1,hot
0,4,0,6,1,0,7,0,0,1,1,1,hot
0,0,0,1,0,0,0,0,0,0,0,0,hot
0,7,1,24,8,3,36,0,2,0,3,13,hot
0,5,1,17,7,1,24,0,1,0,2,9,hot
0,6,1,28,7,4,50,0,2,1,1,15,hot
0,6,0,14,3,2,19,0,1,1,1,5,hot
1,1,2,11,6,0,19,0,0,0,0,7,hot
0,6,1,27,6,4,49,0,2,0,1,14,hot
0,6,0,13,2,2,18,0,1,0,1,4,hot
1,1,2,11,6,0,19,0,0,0,0,7,hot
0,4,1,23,14,2,43,1,1,0,0,14,hot
0,4,1,22,14,1,43,1,1,0,0,14,hot
0,17,0,26,8,0,41,0,0,0,16,16,hot
0,14,2,31,11,1,38,0,0,4,10,24,cold
1,1,2,10,5,0,16,0,0,0,0,6,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,4,0,5,0,0,0,0,0,4,4,4,hot
0,5,0,7,1,0,8,0,0,2,2,2,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,3,0,5,1,0,9,0,0,0,2,3,hot
0,3,0,5,1,0,7,0,0,0,2,2,hot
0,3,0,5,1,0,7,0,0,0,2,2,hot
0,1,1,5,2,0,7,0,0,0,0,2,hot
0,2,1,7,2,0,12,0,0,0,1,4,hot
0,0,0,1,0,0,0,0,0,0,0,0,hot
0,1,0,7,1,3,6,0,2,0,1,2,hot
0,1,0,3,0,1,2,0,1,0,1,1,hot
0,0,0,2,1,0,0,0,0,0,0,0,hot
0,1,0,3,1,0,1,0,0,0,0,0,hot
0,0,0,2,1,0,0,0,0,0,0,0,hot
0,3,0,5,1,0,6,0,0,0,0,0,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,11,3,21,6,0,32,0,0,6,9,14,hot
0,4,0,7,0,1,9,0,1,1,2,3,hot
0,3,0,6,0,1,7,0,1,0,1,2,hot
0,7,1,16,2,1,26,0,1,1,4,9,hot
0,6,0,13,1,1,22,0,1,0,3,7,hot
0,7,1,16,2,1,26,0,1,1,4,9,hot
0,6,0,13,1,1,22,0,1,0,3,7,hot
0,9,2,30,12,1,58,0,1,0,4,18,cold
0,8,0,17,3,1,30,0,1,0,3,9,hot
0,24,3,45,11,0,84,0,0,1,19,30,cold
0,7,0,18,3,2,32,1,1,0,3,10,hot
0,8,1,21,5,1,39,1,1,0,4,11,hot
0,6,0,18,3,2,32,1,1,0,3,11,hot
0,7,1,21,5,1,39,1,1,0,4,12,hot
0,8,1,22,9,0,36,0,0,0,5,11,hot
0,21,5,49,17,2,84,1,2,1,20,28,cold
0,3,0,6,0,2,7,1,2,0,2,2,hot
0,20,5,47,17,1,81,0,1,1,19,27,cold
0,3,1,11,5,1,14,0,0,0,2,4,hot
0,2,0,5,1,0,5,0,0,0,1,2,hot
0,14,1,45,22,3,74,0,2,0,13,27,hot
0,13,1,35,17,1,54,0,1,0,12,20,hot
0,7,1,9,0,0,11,0,0,1,4,8,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,2,1,8,3,0,10,0,0,1,1,4,hot
0,0,1,4,1,0,5,0,0,0,0,2,hot
0,2,0,4,0,1,4,0,1,0,0,0,hot
0,2,0,8,2,3,11,2,3,0,0,2,hot
0,4,0,12,2,4,19,3,4,0,2,5,hot
0,4,0,12,2,4,19,3,4,0,2,5,hot
0,2,0,5,0,2,5,1,2,0,0,0,hot
0,2,0,3,0,0,4,0,0,0,1,1,hot
0,2,1,8,4,0,13,0,0,0,1,5,hot
0,1,0,3,1,0,2,0,0,0,0,0,hot
0,5,0,38,20,8,37,8,8,2,4,18,cold
0,5,0,32,14,8,31,8,8,2,4,15,cold
0,4,0,30,14,7,29,7,7,2,3,14,hot
0,5,0,36,18,8,35,8,8,2,4,17,cold
0,5,0,30,12,8,29,8,8,2,4,14,cold
0,4,0,28,12,7,27,7,7,2,3,13,hot
0,4,0,34,18,7,34,7,7,1,3,16,cold
0,4,0,28,12,7,28,7,7,1,3,13,hot
0,3,0,26,12,6,26,6,6,1,2,12,hot
0,5,0,28,10,8,27,8,8,2,4,13,cold
0,5,0,22,4,8,21,8,8,2,4,10,hot
0,4,0,20,4,7,19,7,7,2,3,9,hot
0,5,0,26,8,8,25,8,8,2,4,12,hot
0,5,0,20,2,8,19,8,8,2,4,9,hot
0,4,0,18,2,7,17,7,7,2,3,8,hot
0,4,0,24,8,7,24,7,7,1,3,11,hot
0,4,0,18,2,7,18,7,7,1,3,8,hot
0,3,0,16,2,6,16,6,6,1,2,7,hot
0,4,0,26,10,7,25,7,7,2,3,12,hot
0,4,0,20,4,7,19,7,7,2,3,9,hot
0,3,0,18,4,6,17,6,6,2,2,8,hot
0,4,0,24,8,7,23,7,7,2,3,11,hot
0,4,0,18,2,7,17,7,7,2,3,8,hot
0,3,0,16,2,6,15,6,6,2,2,7,hot
0,3,0,22,8,6,22,6,6,1,2,10,hot
0,3,0,16,2,6,16,6,6,1,2,7,hot
0,2,0,14,2,5,14,5,5,1,1,6,hot
0,5,0,36,18,8,35,8,8,2,4,17,cold
0,5,0,30,12,8,29,8,8,2,4,14,cold
0,4,0,28,12,7,27,7,7,2,3,13,hot
0,5,0,34,16,8,33,8,8,2,4,16,cold
0,5,0,28,10,8,27,8,8,2,4,13,cold
0,4,0,26,10,7,25,7,7,2,3,12,hot
0,4,0,32,16,7,32,7,7,1,3,15,hot
0,4,0,26,10,7,26,7,7,1,3,12,hot
0,3,0,24,10,6,24,6,6,1,2,11,hot
0,5,0,26,8,8,25,8,8,2,4,12,hot
0,5,0,20,2,8,19,8,8,2,4,9,hot
0,4,0,18,2,7,17,7,7,2,3,8,hot
0,5,0,24,6,8,23,8,8,2,4,11,hot
0,5,0,18,0,8,17,8,8,2,4,8,hot
0,4,0,16,0,7,15,7,7,2,3,7,hot
0,4,0,22,6,7,22,7,7,1,3,10,hot
0,4,0,16,0,7,16,7,7,1,3,7,hot
0,3,0,14,0,6,14,6,6,1,2,6,hot
0,4,0,24,8,7,23,7,7,2,3,11,hot
0,4,0,18,2,7,17,7,7,2,3,8,hot
0,3,0,16,2,6,15,6,6,2,2,7,hot
0,4,0,22,6,7,21,7,7,2,3,10,hot
0,4,0,16,0,7,15,7,7,2,3,7,hot
0,3,0,14,0,6,13,6,6,2,2,6,hot
0,3,0,20,6,6,20,6,6,1,2,9,hot
0,3,0,14,0,6,14,6,6,1,2,6,hot
0,2,0,12,0,5,12,5,5,1,1,5,hot
0,4,0,34,18,7,34,7,7,1,3,16,cold
0,4,0,28,12,7,28,7,7,1,3,13,hot
0,3,0,26,12,6,26,6,6,1,2,12,hot
0,4,0,32,16,7,32,7,7,1,3,15,hot
0,4,0,26,10,7,26,7,7,1,3,12,hot
0,3,0,24,10,6,24,6,6,1,2,11,hot
0,3,0,30,16,6,31,6,6,0,2,14,hot
0,3,0,24,10,6,25,6,6,0,2,11,hot
0,2,0,22,10,5,23,5,5,0,1,10,hot
0,4,0,24,8,7,24,7,7,1,3,11,hot
0,4,0,18,2,7,18,7,7,1,3,8,hot
0,3,0,16,2,6,16,6,6,1,2,7,hot
0,4,0,22,6,7,22,7,7,1,3,10,hot
0,4,0,16,0,7,16,7,7,1,3,7,hot
0,3,0,14,0,6,14,6,6,1,2,6,hot
0,3,0,20,6,6,21,6,6,0,2,9,hot
0,3,0,14,0,6,15,6,6,0,2,6,hot
0,2,0,12,0,5,13,5,5,0,1,5,hot
0,3,0,22,8,6,22,6,6,1,2,10,hot
0,3,0,16,2,6,16,6,6,1,2,7,hot
0,2,0,14,2,5,14,5,5,1,1,6,hot
0,3,0,20,6,6,20,6,6,1,2,9,hot
0,3,0,14,0,6,14,6,6,1,2,6,hot
0,2,0,12,0,5,12,5,5,1,1,5,hot
0,2,0,18,6,5,19,5,5,0,1,8,hot
0,2,0,12,0,5,13,5,5,0,1,5,hot
0,1,0,10,0,4,11,4,4,0,0,4,hot
0,5,0,39,20,8,39,8,8,2,4,19,cold
0,5,0,33,14,8,33,8,8,2,4,16,cold
0,4,0,31,14,7,31,7,7,2,3,15,hot
0,5,0,37,18,8,37,8,8,2,4,18,cold
0,5,0,31,12,8,31,8,8,2,4,15,cold
0,4,0,29,12,7,29,7,7,2,3,14,hot
0,4,0,35,18,7,36,7,7,1,3,17,cold
0,4,0,29,12,7,30,7,7,1,3,14,hot
0,3,0,27,12,6,28,6,6,1,2,13,hot
0,5,0,29,10,8,29,8,8,2,4,14,cold
0,5,0,23,4,8,23,8,8,2,4,11,hot
0,4,0,21,4,7,21,7,7,2,3,10,hot
0,5,0,27,8,8,27,8,8,2,4,13,hot
0,5,0,21,2,8,21,8,8,2,4,10,hot
0,4,0,19,2,7,19,7,7,2,3,9,hot
0,4,0,25,8,7,26,7,7,1,3,12,hot
0,4,0,19,2,7,20,7,7,1,3,9,hot
0,3,0,17,2,6,18,6,6,1,2,8,hot
0,4,0,27,10,7,27,7,7,2,3,13,hot
0,4,0,21,4,7,21,7,7,2,3,10,hot
0,3,0,19,4,6,19,6,6,2,2,9,hot
0,4,0,25,8,7,25,7,7,2,3,12,hot
0,4,0,19,2,7,19,7,7,2,3,9,hot
0,3,0,17,2,6,17,6,6,2,2,8,hot
0,3,0,23,8,6,24,6,6,1,2,11,hot
0,3,0,17,2,6,18,6,6,1,2,8,hot
0,2,0,15,2,5,16,5,5,1,1,7,hot
0,5,0,37,18,8,37,8,8,2,4,18,cold
0,5,0,31,12,8,31,8,8,2,4,15,cold
0,4,0,29,12,7,29,7,7,2,3,14,hot
0,5,0,35,16,8,35,8,8,2,4,17,cold
0,5,0,29,10,8,29,8,8,2,4,14,cold
0,4,0,27,10,7,27,7,7,2,3,13,hot
0,4,0,33,16,7,34,7,7,1,3,16,cold
0,4,0,27,10,7,28,7,7,1,3,13,hot
0,3,0,25,10,6,26,6,6,1,2,12,hot
0,5,0,27,8,8,27,8,8,2,4,13,hot
0,5,0,21,2,8,21,8,8,2,4,10,hot
0,4,0,19,2,7,19,7,7,2,3,9,hot
0,5,0,25,6,8,25,8,8,2,4,12,hot
0,5,0,19,0,8,19,8,8,2,4,9,hot
0,4,0,17,0,7,17,7,7,2,3,8,hot
0,4,0,23,6,7,24,7,7,1,3,11,hot
0,4,0,17,0,7,18,7,7,1,3,8,hot
0,3,0,15,0,6,16,6,6,1,2,7,hot
0,4,0,25,8,7,25,7,7,2,3,12,hot
0,4,0,19,2,7,19,7,7,2,3,9,hot
0,3,0,17,2,6,17,6,6,2,2,8,hot
0,4,0,23,6,7,23,7,7,2,3,11,hot
0,4,0,17,0,7,17,7,7,2,3,8,hot
0,3,0,15,0,6,15,6,6,2,2,7,hot
0,3,0,21,6,6,22,6,6,1,2,10,hot
0,3,0,15,0,6,16,6,6,1,2,7,hot
0,2,0,13,0,5,14,5,5,1,1,6,hot
0,4,0,35,18,7,36,7,7,1,3,17,cold
0,4,0,29,12,7,30,7,7,1,3,14,hot
0,3,0,27,12,6,28,6,6,1,2,13,hot
0,4,0,33,16,7,34,7,7,1,3,16,cold
0,4,0,27,10,7,28,7,7,1,3,13,hot
0,3,0,25,10,6,26,6,6,1,2,12,hot
0,3,0,31,16,6,33,6,6,0,2,15,hot
0,3,0,25,10,6,27,6,6,0,2,12,hot
0,2,0,23,10,5,25,5,5,0,1,11,hot
0,4,0,25,8,7,26,7,7,1,3,12,hot
0,4,0,19,2,7,20,7,7,1,3,9,hot
0,3,0,17,2,6,18,6,6,1,2,8,hot
0,4,0,23,6,7,24,7,7,1,3,11,hot
0,4,0,17,0,7,18,7,7,1,3,8,hot
0,3,0,15,0,6,16,6,6,1,2,7,hot
0,3,0,21,6,6,23,6,6,0,2,10,hot
0,3,0,15,0,6,17,6,6,0,2,7,hot
0,2,0,13,0,5,15,5,5,0,1,6,hot
0,3,0,23,8,6,24,6,6,1,2,11,hot
0,3,0,17,2,6,18,6,6,1,2,8,hot
0,2,0,15,2,5,16,5,5,1,1,7,hot
0,3,0,21,6,6,22,6,6,1,2,10,hot
0,3,0,15,0,6,16,6,6,1,2,7,hot
0,2,0,13,0,5,14,5,5,1,1,6,hot
0,2,0,19,6,5,21,5,5,0,1,9,hot
0,2,0,13,0,5,15,5,5,0,1,6,hot
0,1,0,11,0,4,13,4,4,0,0,5,hot
0,8,4,51,28,4,77,4,4,1,7,36,cold
0,4,0,14,2,4,15,4,4,1,3,7,hot
