@relation observations_40.arff_clustered

@attribute Instance_number numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}
@attribute Cluster {cluster0,cluster1}

@data
89,0,2,0,5,0,2,5,1,2,0,0,0,?,cluster1
90,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster1
91,0,2,1,8,4,0,13,0,0,0,1,5,?,cluster1
92,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster1
93,0,5,0,38,20,8,37,8,8,2,4,18,?,cluster1
94,0,5,0,32,14,8,31,8,8,2,4,15,?,cluster1
95,0,4,0,30,14,7,29,7,7,2,3,14,?,cluster1
96,0,5,0,36,18,8,35,8,8,2,4,17,?,cluster1
97,0,5,0,30,12,8,29,8,8,2,4,14,?,cluster1
98,0,4,0,28,12,7,27,7,7,2,3,13,?,cluster1
99,0,4,0,34,18,7,34,7,7,1,3,16,?,cluster1
100,0,4,0,28,12,7,28,7,7,1,3,13,?,cluster1
101,0,3,0,26,12,6,26,6,6,1,2,12,?,cluster1
102,0,5,0,28,10,8,27,8,8,2,4,13,?,cluster1
103,0,5,0,22,4,8,21,8,8,2,4,10,?,cluster1
104,0,4,0,20,4,7,19,7,7,2,3,9,?,cluster1
105,0,5,0,26,8,8,25,8,8,2,4,12,?,cluster1
106,0,5,0,20,2,8,19,8,8,2,4,9,?,cluster1
107,0,4,0,18,2,7,17,7,7,2,3,8,?,cluster1
108,0,4,0,24,8,7,24,7,7,1,3,11,?,cluster1
109,0,4,0,18,2,7,18,7,7,1,3,8,?,cluster1
110,0,3,0,16,2,6,16,6,6,1,2,7,?,cluster1
111,0,4,0,26,10,7,25,7,7,2,3,12,?,cluster1
112,0,4,0,20,4,7,19,7,7,2,3,9,?,cluster1
113,0,3,0,18,4,6,17,6,6,2,2,8,?,cluster1
114,0,4,0,24,8,7,23,7,7,2,3,11,?,cluster1
115,0,4,0,18,2,7,17,7,7,2,3,8,?,cluster1
116,0,3,0,16,2,6,15,6,6,2,2,7,?,cluster1
117,0,3,0,22,8,6,22,6,6,1,2,10,?,cluster1
118,0,3,0,16,2,6,16,6,6,1,2,7,?,cluster1
119,0,2,0,14,2,5,14,5,5,1,1,6,?,cluster1
120,0,5,0,36,18,8,35,8,8,2,4,17,?,cluster1
121,0,5,0,30,12,8,29,8,8,2,4,14,?,cluster1
122,0,4,0,28,12,7,27,7,7,2,3,13,?,cluster1
123,0,5,0,34,16,8,33,8,8,2,4,16,?,cluster1
124,0,5,0,28,10,8,27,8,8,2,4,13,?,cluster1
125,0,4,0,26,10,7,25,7,7,2,3,12,?,cluster1
126,0,4,0,32,16,7,32,7,7,1,3,15,?,cluster1
127,0,4,0,26,10,7,26,7,7,1,3,12,?,cluster1
128,0,3,0,24,10,6,24,6,6,1,2,11,?,cluster1
129,0,5,0,26,8,8,25,8,8,2,4,12,?,cluster1
130,0,5,0,20,2,8,19,8,8,2,4,9,?,cluster1
131,0,4,0,18,2,7,17,7,7,2,3,8,?,cluster1
132,0,5,0,24,6,8,23,8,8,2,4,11,?,cluster1
133,0,5,0,18,0,8,17,8,8,2,4,8,?,cluster1
134,0,4,0,16,0,7,15,7,7,2,3,7,?,cluster1
135,0,4,0,22,6,7,22,7,7,1,3,10,?,cluster1
136,0,4,0,16,0,7,16,7,7,1,3,7,?,cluster1
137,0,3,0,14,0,6,14,6,6,1,2,6,?,cluster1
138,0,4,0,24,8,7,23,7,7,2,3,11,?,cluster1
139,0,4,0,18,2,7,17,7,7,2,3,8,?,cluster1
140,0,3,0,16,2,6,15,6,6,2,2,7,?,cluster1
141,0,4,0,22,6,7,21,7,7,2,3,10,?,cluster1
142,0,4,0,16,0,7,15,7,7,2,3,7,?,cluster1
143,0,3,0,14,0,6,13,6,6,2,2,6,?,cluster1
144,0,3,0,20,6,6,20,6,6,1,2,9,?,cluster1
145,0,3,0,14,0,6,14,6,6,1,2,6,?,cluster1
146,0,2,0,12,0,5,12,5,5,1,1,5,?,cluster1
147,0,4,0,34,18,7,34,7,7,1,3,16,?,cluster1
148,0,4,0,28,12,7,28,7,7,1,3,13,?,cluster1
149,0,3,0,26,12,6,26,6,6,1,2,12,?,cluster1
150,0,4,0,32,16,7,32,7,7,1,3,15,?,cluster1
151,0,4,0,26,10,7,26,7,7,1,3,12,?,cluster1
152,0,3,0,24,10,6,24,6,6,1,2,11,?,cluster1
153,0,3,0,30,16,6,31,6,6,0,2,14,?,cluster1
154,0,3,0,24,10,6,25,6,6,0,2,11,?,cluster1
155,0,2,0,22,10,5,23,5,5,0,1,10,?,cluster1
156,0,4,0,24,8,7,24,7,7,1,3,11,?,cluster1
157,0,4,0,18,2,7,18,7,7,1,3,8,?,cluster1
158,0,3,0,16,2,6,16,6,6,1,2,7,?,cluster1
159,0,4,0,22,6,7,22,7,7,1,3,10,?,cluster1
160,0,4,0,16,0,7,16,7,7,1,3,7,?,cluster1
161,0,3,0,14,0,6,14,6,6,1,2,6,?,cluster1
162,0,3,0,20,6,6,21,6,6,0,2,9,?,cluster1
163,0,3,0,14,0,6,15,6,6,0,2,6,?,cluster1
164,0,2,0,12,0,5,13,5,5,0,1,5,?,cluster1
165,0,3,0,22,8,6,22,6,6,1,2,10,?,cluster1
166,0,3,0,16,2,6,16,6,6,1,2,7,?,cluster1
167,0,2,0,14,2,5,14,5,5,1,1,6,?,cluster1
168,0,3,0,20,6,6,20,6,6,1,2,9,?,cluster1
169,0,3,0,14,0,6,14,6,6,1,2,6,?,cluster1
170,0,2,0,12,0,5,12,5,5,1,1,5,?,cluster1
171,0,2,0,18,6,5,19,5,5,0,1,8,?,cluster1
172,0,2,0,12,0,5,13,5,5,0,1,5,?,cluster1
173,0,1,0,10,0,4,11,4,4,0,0,4,?,cluster1
174,0,5,0,39,20,8,39,8,8,2,4,19,?,cluster1
175,0,5,0,33,14,8,33,8,8,2,4,16,?,cluster1
176,0,4,0,31,14,7,31,7,7,2,3,15,?,cluster1
177,0,5,0,37,18,8,37,8,8,2,4,18,?,cluster1
178,0,5,0,31,12,8,31,8,8,2,4,15,?,cluster1
179,0,4,0,29,12,7,29,7,7,2,3,14,?,cluster1
180,0,4,0,35,18,7,36,7,7,1,3,17,?,cluster1
181,0,4,0,29,12,7,30,7,7,1,3,14,?,cluster1
182,0,3,0,27,12,6,28,6,6,1,2,13,?,cluster1
183,0,5,0,29,10,8,29,8,8,2,4,14,?,cluster1
184,0,5,0,23,4,8,23,8,8,2,4,11,?,cluster1
185,0,4,0,21,4,7,21,7,7,2,3,10,?,cluster1
186,0,5,0,27,8,8,27,8,8,2,4,13,?,cluster1
187,0,5,0,21,2,8,21,8,8,2,4,10,?,cluster1
188,0,4,0,19,2,7,19,7,7,2,3,9,?,cluster1
189,0,4,0,25,8,7,26,7,7,1,3,12,?,cluster1
190,0,4,0,19,2,7,20,7,7,1,3,9,?,cluster1
191,0,3,0,17,2,6,18,6,6,1,2,8,?,cluster1
192,0,4,0,27,10,7,27,7,7,2,3,13,?,cluster1
193,0,4,0,21,4,7,21,7,7,2,3,10,?,cluster1
194,0,3,0,19,4,6,19,6,6,2,2,9,?,cluster1
195,0,4,0,25,8,7,25,7,7,2,3,12,?,cluster1
196,0,4,0,19,2,7,19,7,7,2,3,9,?,cluster1
197,0,3,0,17,2,6,17,6,6,2,2,8,?,cluster1
198,0,3,0,23,8,6,24,6,6,1,2,11,?,cluster1
199,0,3,0,17,2,6,18,6,6,1,2,8,?,cluster1
200,0,2,0,15,2,5,16,5,5,1,1,7,?,cluster1
201,0,5,0,37,18,8,37,8,8,2,4,18,?,cluster1
202,0,5,0,31,12,8,31,8,8,2,4,15,?,cluster1
203,0,4,0,29,12,7,29,7,7,2,3,14,?,cluster1
204,0,5,0,35,16,8,35,8,8,2,4,17,?,cluster1
205,0,5,0,29,10,8,29,8,8,2,4,14,?,cluster1
206,0,4,0,27,10,7,27,7,7,2,3,13,?,cluster1
207,0,4,0,33,16,7,34,7,7,1,3,16,?,cluster1
208,0,4,0,27,10,7,28,7,7,1,3,13,?,cluster1
209,0,3,0,25,10,6,26,6,6,1,2,12,?,cluster1
210,0,5,0,27,8,8,27,8,8,2,4,13,?,cluster1
211,0,5,0,21,2,8,21,8,8,2,4,10,?,cluster1
212,0,4,0,19,2,7,19,7,7,2,3,9,?,cluster1
213,0,5,0,25,6,8,25,8,8,2,4,12,?,cluster1
214,0,5,0,19,0,8,19,8,8,2,4,9,?,cluster1
215,0,4,0,17,0,7,17,7,7,2,3,8,?,cluster1
216,0,4,0,23,6,7,24,7,7,1,3,11,?,cluster1
217,0,4,0,17,0,7,18,7,7,1,3,8,?,cluster1
218,0,3,0,15,0,6,16,6,6,1,2,7,?,cluster1
219,0,4,0,25,8,7,25,7,7,2,3,12,?,cluster1
220,0,4,0,19,2,7,19,7,7,2,3,9,?,cluster1
221,0,3,0,17,2,6,17,6,6,2,2,8,?,cluster1
222,0,4,0,23,6,7,23,7,7,2,3,11,?,cluster1
223,0,4,0,17,0,7,17,7,7,2,3,8,?,cluster1
224,0,3,0,15,0,6,15,6,6,2,2,7,?,cluster1
225,0,3,0,21,6,6,22,6,6,1,2,10,?,cluster1
226,0,3,0,15,0,6,16,6,6,1,2,7,?,cluster1
227,0,2,0,13,0,5,14,5,5,1,1,6,?,cluster1
228,0,4,0,35,18,7,36,7,7,1,3,17,?,cluster1
229,0,4,0,29,12,7,30,7,7,1,3,14,?,cluster1
230,0,3,0,27,12,6,28,6,6,1,2,13,?,cluster1
231,0,4,0,33,16,7,34,7,7,1,3,16,?,cluster1
232,0,4,0,27,10,7,28,7,7,1,3,13,?,cluster1
233,0,3,0,25,10,6,26,6,6,1,2,12,?,cluster1
234,0,3,0,31,16,6,33,6,6,0,2,15,?,cluster1
235,0,3,0,25,10,6,27,6,6,0,2,12,?,cluster1
236,0,2,0,23,10,5,25,5,5,0,1,11,?,cluster1
237,0,4,0,25,8,7,26,7,7,1,3,12,?,cluster1
238,0,4,0,19,2,7,20,7,7,1,3,9,?,cluster1
239,0,3,0,17,2,6,18,6,6,1,2,8,?,cluster1
240,0,4,0,23,6,7,24,7,7,1,3,11,?,cluster1
241,0,4,0,17,0,7,18,7,7,1,3,8,?,cluster1
242,0,3,0,15,0,6,16,6,6,1,2,7,?,cluster1
243,0,3,0,21,6,6,23,6,6,0,2,10,?,cluster1
244,0,3,0,15,0,6,17,6,6,0,2,7,?,cluster1
245,0,2,0,13,0,5,15,5,5,0,1,6,?,cluster1
246,0,3,0,23,8,6,24,6,6,1,2,11,?,cluster1
247,0,3,0,17,2,6,18,6,6,1,2,8,?,cluster1
248,0,2,0,15,2,5,16,5,5,1,1,7,?,cluster1
249,0,3,0,21,6,6,22,6,6,1,2,10,?,cluster1
250,0,3,0,15,0,6,16,6,6,1,2,7,?,cluster1
251,0,2,0,13,0,5,14,5,5,1,1,6,?,cluster1
252,0,2,0,19,6,5,21,5,5,0,1,9,?,cluster1
253,0,2,0,13,0,5,15,5,5,0,1,6,?,cluster1
254,0,1,0,11,0,4,13,4,4,0,0,5,?,cluster1
255,0,8,4,51,28,4,77,4,4,1,7,36,?,cluster1
256,0,4,0,14,2,4,15,4,4,1,3,7,?,cluster1
257,0,3,0,12,2,3,13,3,3,1,2,6,?,cluster1
258,0,8,4,49,26,4,75,4,4,1,7,35,?,cluster1
259,0,4,0,12,0,4,13,4,4,1,3,6,?,cluster1
260,0,3,0,10,0,3,11,3,3,1,2,5,?,cluster1
261,0,7,4,47,26,3,74,3,3,0,6,34,?,cluster1
262,0,3,0,10,0,3,12,3,3,0,2,5,?,cluster1
